192.168.48.229 - - [17/Jun/2025:15:44:03 +0000] "POST /routerease/user/realms/routerease/protocol/openid-connect/token HTTP/1.1" 404 19 "-" "-" 1 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:46:04 +0000] "GET /routerease/mac-address/ HTTP/1.1" 404 19 "-" "-" 2 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:46:38 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 3 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:47:57 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 4 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:25 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 5 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:26 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 6 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:27 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 7 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:31 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 8 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:37 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 9 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:49:43 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 200 100 "-" "-" 10 "mac-address@docker" "http://172.20.0.4:8080" 9ms
172.20.0.1 - - [17/Jun/2025:15:51:23 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 11 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:51:25 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 12 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:51:26 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 200 100 "-" "-" 13 "mac-address@docker" "http://172.20.0.4:8080" 0ms
172.20.0.1 - - [17/Jun/2025:15:51:52 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 404 19 "-" "-" 14 "-" "-" 0ms
172.20.0.1 - - [17/Jun/2025:15:52:16 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 200 100 "-" "-" 1 "mac-address@docker" "http://172.20.0.3:8080" 2ms
172.20.0.1 - - [17/Jun/2025:16:14:03 +0000] "GET /routerease/mac-address/?mac=d0:f4:05:21:cb:4a HTTP/1.1" 200 100 "-" "-" 2 "mac-address@docker" "http://172.20.0.3:8080" 0ms
172.20.0.1 - - [17/Jun/2025:16:19:22 +0000] "POST /routerease/mac-address/complete HTTP/1.1" 400 24 "-" "-" 1 "mac-address@docker" "http://172.20.0.2:8080" 0ms
172.20.0.1 - - [17/Jun/2025:16:19:24 +0000] "POST /routerease/mac-address/complete HTTP/1.1" 400 24 "-" "-" 2 "mac-address@docker" "http://172.20.0.2:8080" 0ms
